a1, a2, a3
0.002502441, -0.03570557, 0.9682007
0.006164551, -0.03601074, 0.9666748
0.00604248, -0.03448486, 0.9658813
0.00604248, -0.03582764, 0.967041
0.0078125, -0.03515625, 0.9664307
0.004516602, -0.03460693, 0.96698
0.005615234, -0.0345459, 0.9688721
0.004455566, -0.03631592, 0.9707642
0.006469727, -0.03521729, 0.9695435
0.006530762, -0.03344727, 0.9663696
0.005126953, -0.03509521, 0.9667358
0.004577637, -0.03515625, 0.9706421
0.006103516, -0.03570557, 0.9713135
0.005554199, -0.0333252, 0.9646606
0.00769043, -0.03546143, 0.9668579
-0.02166748, -0.02276611, 0.9175415
0.007141113, -0.01879883, 0.9430542
0.02246094, -0.05792236, 0.9725342
0.02093506, -0.03875732, 0.9707031
0.00970459, -0.03729248, 0.9651489
0.00592041, -0.03027344, 0.9650269
0.007568359, -0.03314209, 0.9688721
0.005310059, -0.03143311, 0.96698
0.05291748, -0.0390625, 0.965271
0.1028442, -0.007324219, 0.9645386
-0.08282471, -0.06237793, 0.9719849
-0.03076172, -0.03869629, 0.9712524
0.02783203, -0.04351807, 0.9676514
0.02532959, -0.04382324, 0.9710083
0.02368164, -0.04376221, 0.9697876
0.02276611, -0.04449463, 0.9676514
0.01660156, -0.04205322, 0.9700317
0.0222168, -0.04229736, 0.9698486
-0.00213623, -0.03723145, 0.973938
-0.07806396, -0.01849365, 0.963562
-0.144104, -0.04394531, 0.9624023
-0.04602051, -0.01281738, 0.9666748
0.1069336, -0.03112793, 0.9807129
0.1560669, -0.0401001, 0.9713745
0.07550049, -0.04101563, 0.9720459
0.001647949, -0.0300293, 0.96521
0.002807617, -0.03155518, 0.96875
0.006530762, -0.03173828, 0.9677734
0.01147461, -0.03363037, 0.9702148
0.08483887, -0.03552246, 0.9858398
0.2507935, -0.01031494, 0.9723511
0.123291, -0.07867432, 0.9686279
-0.1034546, -0.0458374, 0.9628906
-0.1450195, -0.05493164, 0.9660034
-0.08056641, -0.03491211, 0.9684448
0.03204346, -0.04431152, 0.9694824
0.02435303, -0.05145264, 0.9720459
0.01269531, -0.05072021, 0.9596558
0.0008544922, -0.02905273, 0.9665527
0.00390625, -0.03210449, 0.9688721
0.002929688, -0.03186035, 0.9662476
-0.03039551, -0.02563477, 0.968811
-0.2276001, -0.03875732, 0.9639282
-0.1415405, -0.04925537, 0.9487915
0.1601563, -0.04663086, 0.9817505
0.2385254, -0.02624512, 0.9758911
0.1236572, -0.001037598, 0.9694214
-0.01605225, -0.02642822, 0.9596558
-0.01245117, -0.02783203, 0.9668579
-0.009338379, -0.02539063, 0.9669189
-0.01159668, -0.03137207, 0.9634399
0.0009765625, -0.02825928, 0.9669189
-0.0001220703, -0.02978516, 0.9715576
-0.002563477, -0.03106689, 0.9700928
-0.002624512, -0.02954102, 0.9678955
-0.005004883, -0.03015137, 0.9696655
-0.005432129, -0.02966309, 0.9682617
-0.007568359, -0.02954102, 0.9671631
-0.004272461, -0.02734375, 0.9660645
-0.006286621, -0.02868652, 0.9655151
6.103516e-05, -0.0300293, 0.9633789
0.07952881, -0.04528809, 0.9828491
0.1021118, -0.03564453, 0.9740601
0.02911377, -0.0123291, 0.9529419
0.02038574, -0.03222656, 0.9596558
-0.08837891, 0.008850098, 0.9616089
-0.1448364, 0.007873535, 0.9633179
0.01263428, -0.03051758, 0.9959106
6.103516e-05, -0.02587891, 0.9706421
-0.0008544922, -0.02789307, 0.9689331
-0.001953125, -0.02471924, 0.9666748
-0.0133667, -0.02886963, 0.9658203
-0.04168701, -0.01855469, 0.9711304
-0.1332397, 0.005126953, 0.961853
-0.09924316, -0.0491333, 0.963623
0.01483154, -0.04162598, 0.9752808
